,price,powerStatusD,furnishedD,bathD,transactionTypeD,propTypeD,bedroomD,waterStatus,isPrimeLocProp,floorNo,floors,amenitiesCount,floorRatio
1068,4100000,No/Rare Powercut,Semi-Furnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,N,3.0,7.0,3.0,0.42857142857142855
1069,11200000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,8.0,8.0,21.0,1.0
1070,12000000,No/Rare Powercut,Semi-Furnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,N,3.0,3.0,14.444773175542407,1.0
1071,16500000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,24.0,41.0,25.0,0.5853658536585366
1072,26000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,15.0,34.0,20.0,0.4411764705882353
1073,35000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,0.0,59.0,48.0,0.0
1074,27500000,No/Rare Powercut,Furnished,4,Resale,Apartment,4,Water Availability 24 Hours Available,Y,4.0,30.0,12.0,0.13333333333333333
1075,37500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,6.0,22.0,5.0,0.2727272727272727
1076,7700000,No/Rare Powercut,Unfurnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,5.0,0.49096401229102654
1077,3500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,16.0,23.0,14.444773175542407,0.6956521739130435
1078,15000000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,17.0,23.0,11.0,0.7391304347826086
1079,30000000,No/Rare Powercut,Semi-Furnished,6,Resale,Villa,6,Water Availability 24 Hours Available,N,9.40818363273453,19.1626746506986,8.0,0.49096401229102654
1080,10495800,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,10.0,47.0,15.0,0.2127659574468085
1081,10260000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,30.0,38.0,5.0,0.7894736842105263
1082,7800000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,2.0,7.0,11.0,0.2857142857142857
1083,7500000,No/Rare Powercut,Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,12.0,14.0,19.0,0.8571428571428571
1084,16200000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,N,5.0,11.0,5.0,0.45454545454545453
1085,120000000,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,6.0,54.0,21.0,0.1111111111111111
1086,140000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,3,Water Availability 24 Hours Available,Y,0.0,4.0,14.0,0.0
1087,14200000,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,12.0,23.0,11.0,0.5217391304347826
1088,5992500,No/Rare Powercut,Unfurnished,1,New Property,Apartment,1,Water Availability 24 Hours Available,Y,10.0,22.0,14.0,0.45454545454545453
1089,25500000,No/Rare Powercut,Furnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,N,6.0,7.0,9.0,0.8571428571428571
1090,62500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,5.0,7.0,6.0,0.7142857142857143
1091,12100000,No/Rare Powercut,Furnished,2,Resale,Apartment,3,Water Availability 24 Hours Available,N,7.0,39.0,16.0,0.1794871794871795
