,price,bathD,bedroomD,landAreaUnitD,floorNo,floors,2 To 4 Hours Powercut,Less Than 2 Hour Powercut,No/Rare Powercut,Furnished,Semi-Furnished,Unfurnished,Apartment,Builder Floor Apartment,Penthouse,Residential House,Villa,New Property,Other,Rent,Resale,Water Availability 1 Hour Available,Water Availability 12 Hours Available,Water Availability 2 Hours Available,Water Availability 24 Hours Available,Water Availability 6 Hours Available,N,Y,amenitiesCount,floorRatio
723,23000000,3,3,sqft,14.0,17.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,19.0,0.8235294117647058
724,15000000,3,3,sqft,7.0,32.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,19.0,0.21875
725,500000000,2,2,sqft,1.0,17.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15.0,0.058823529411764705
726,9500000,2,2,sqft,8.0,26.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,36.0,0.3076923076923077
727,32500000,5,5,Sq-ft,9.414171656686626,19.1626746506986,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,9.0,0.4912764960158325
728,5500000,2,1,sqft,2.0,2.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,9.0,1.0
729,6500000,3,3,sqft,11.0,15.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14.0,0.7333333333333333
730,8900000,2,1,sqft,10.0,35.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,41.0,0.2857142857142857
731,9500000,2,2,sqft,10.0,15.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.0,0.6666666666666666
732,6592000,2,1,sqft,20.0,47.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13.0,0.425531914893617
733,15000000,2,2,sqft,8.0,8.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2.0,1.0
